                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.63391,                 1.1421,                 1.1894,                0.67231,                   0.59,                0.63482,                0.45573,                 1.0252,                 2.0065,                 1.5894,              0.0001719,              0.0001719,              0.0001719
                     36,                 0.6286,                 1.1732,                 1.1751,                0.70812,                0.56489,                0.64071,                0.45931,                 1.0437,                 2.0693,                 1.6196,             0.00016148,             0.00016148,             0.00016148
                     37,                0.62838,                 1.1562,                 1.1881,                0.70147,                 0.5687,                0.63868,                0.46666,                 1.0306,                 2.0854,                 1.6141,             0.00015107,             0.00015107,             0.00015107
                     38,                0.63015,                 1.1605,                 1.1974,                0.60323,                0.62615,                 0.6399,                0.47271,                0.99908,                 1.9888,                 1.5759,             0.00014065,             0.00014065,             0.00014065
                     39,                0.62053,                 1.1094,                 1.1813,                0.66986,                0.57157,                0.63011,                0.45902,                0.99515,                 1.9783,                  1.582,             0.00013024,             0.00013024,             0.00013024
                     40,                0.62422,                 1.0766,                 1.1863,                0.72707,                0.57726,                0.64906,                0.48142,                 1.0024,                 1.9735,                 1.5826,             0.00011982,             0.00011982,             0.00011982
                     41,                0.55456,                 1.3083,                 1.1668,                0.64275,                0.56358,                0.58983,                0.42185,                 1.0451,                 2.2115,                 1.6284,             0.00010941,             0.00010941,             0.00010941
                     42,                0.52258,                 1.2658,                 1.1804,                 0.7023,                0.51348,                0.59729,                0.41916,                 1.0573,                 2.1532,                 1.6498,             9.8993e-05,             9.8993e-05,             9.8993e-05
                     43,                0.52728,                 1.1533,                 1.1413,                0.72225,                0.56892,                0.64575,                0.47081,                0.98997,                 1.9479,                  1.574,             8.8578e-05,             8.8578e-05,             8.8578e-05
                     44,                0.49554,                 1.0924,                 1.1209,                0.75082,                0.60215,                0.65984,                0.48804,                0.96925,                 1.8881,                 1.5645,             7.8164e-05,             7.8164e-05,             7.8164e-05
                     45,                0.48742,                  1.101,                 1.1143,                0.75664,                0.59334,                0.66271,                0.49829,                0.96906,                 1.8869,                 1.5588,             6.7749e-05,             6.7749e-05,             6.7749e-05
                     46,                0.50596,                 1.1517,                 1.1186,                0.71492,                0.60088,                0.65582,                0.48825,                0.98296,                 1.9362,                 1.5667,             5.7334e-05,             5.7334e-05,             5.7334e-05
                     47,                0.50605,                 1.0599,                 1.1307,                 0.6967,                0.58799,                0.64454,                0.47084,                0.98784,                 1.9595,                 1.5745,             4.6919e-05,             4.6919e-05,             4.6919e-05
                     48,                0.46653,                 1.0319,                 1.1243,                0.70974,                0.56765,                0.64768,                0.47769,                0.97845,                 1.9327,                 1.5581,             3.6504e-05,             3.6504e-05,             3.6504e-05
                     49,                0.47461,                 1.0786,                 1.1174,                0.70378,                0.57855,                0.63655,                0.46885,                0.98355,                 1.9431,                 1.5694,              2.609e-05,              2.609e-05,              2.609e-05
                     50,                0.44419,                 1.0213,                 1.0976,                0.67474,                0.59079,                0.64016,                0.47517,                0.98482,                 1.9521,                 1.5708,             1.5675e-05,             1.5675e-05,             1.5675e-05
